OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,SHAPE_Length
862,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,865,Rowville Terminal Station to East Rowville Terminal Station,Operational,220,Victoria,5,20120710,,0.019972775
863,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,866,Heatherton Terminal to Springvale Terminal,Operational,220,Victoria,5,20120710,,0.086065974
864,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,867,Heatherton Terminal to Springvale Terminal,Operational,220,Victoria,5,20120710,,0.086065974
865,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,868,Springvale Terminal to Rowville Terminal,Operational,220,Victoria,5,20120710,,0.084614285
866,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,869,Springvale Terminal to Rowville Terminal,Operational,220,Victoria,5,20120710,,0.084320354
867,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,870,Rowville Terminal Station to Malvern Terminal Station,Operational,220,Victoria,5,20120710,,0.159995929
868,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,871,Rowville Terminal Station to Malvern Terminal Station,Operational,220,Victoria,5,20120710,,0.160004518
869,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,872,Rowville Terminal Station to Richmond Terminal Station,Operational,220,Victoria,5,20120710,,0.269610764
870,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,873,Rowville Terminal Station to Richmond Terminal Station,Operational,220,Victoria,5,20120710,,0.269610764
871,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,874,Richmond Terminal to Brunswick Terminal,Operational,220,Victoria,2,20120710,,0.078524208
872,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,875,Somerton Power Station to Somerton,Operational,66,Victoria,4,20120710,,0.014174371
873,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,876,South Morang Terminal to Somerton Power Station,Operational,66,Victoria,1,20120710,,0.152650235
874,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,877,South Morang Terminal to Somerton,Operational,66,Victoria,3,20120710,,0.147492762
875,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,878,Clover Power Station to Mount Beauty-Glenrowan Terminal Tee,Operational,66,Victoria,2,20120710,,0.07499402
876,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,879,Mount Beauty Terminal to Mount Beauty-Glenrowan Terminal Tee,Operational,66,Victoria,2,20120710,,0.005595725
877,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,880,Mount Beauty Terminal to Mount Beauty-Glenrowan Terminal Tee,Operational,66,Victoria,2,20120710,,0.005595725
878,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,881,Bogong Power Station to Bogong Tee,Operational,220,Victoria,2,20120710,,0.002615063
879,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,882,McKay Creek Power Station to Bogong Tee,Operational,220,Victoria,4,20120710,,0.054425462
880,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,883,Eildon Power Station to Mount Beauty Terminal,Operational,220,Victoria,5,20120710,,1.456080974
881,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,884,Eildon Power Station to Mount Beauty Terminal,Operational,220,Victoria,5,20120710,,1.455921957
882,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,885,Dederang Terminal to Glenrowan Terminal,Operational,220,Victoria,5,20120710,,0.8914716
883,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,886,Dederang Terminal to Glenrowan Terminal,Operational,220,Victoria,5,20120710,,0.8914716
884,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,887,Glenrowan Terminal to Shepparton Terminal,Operational,220,Victoria,5,20120710,,0.76548745
885,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,888,Glenrowan Terminal to Shepparton Terminal,Operational,220,Victoria,5,20120710,,0.76548745
886,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,889,Bendigo Terminal to Fosterville Tee,Operational,220,Victoria,5,20120710,,0.264451836
887,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,890,Fosterville Terminal to Fosterville Tee,Operational,220,Victoria,5,20120710,,0.000885233
888,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,891,Waubra Terminal to Ballarat Terminal,Operational,220,Victoria,5,20120710,,0.401304646
889,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,892,Monash to Red Cliffs Terminal,Operational,220,Victoria,2,20120710,,1.643241264
890,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,893,Loy Yang B Power Station to Loy Yang Power Station,Operational,500,Victoria,5,20120710,,0.01433153
891,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,894,Yallourn Power Station to Yallourn,Operational,220,Victoria,5,20120710,,0.008098506
892,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,895,Yallourn Power Station to Yallourn,Operational,220,Victoria,5,20120710,,0.010513918
893,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,896,Yallourn Power Station to Hazelwood Power Station,Operational,220,Victoria,5,20120710,,0.143863657
894,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,897,Yallourn Power Station to Hazelwood Power Station,Operational,220,Victoria,5,20120710,,0.143863657
895,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,898,Morwell Terminal to Morwell Tee,Operational,220,Victoria,5,20120710,,0.006823444
896,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,899,Morwell Power Station to Morwell Tee,Operational,220,Victoria,3,20120710,,0.001363003
897,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,900,Jeeralang A Power Station to Jeeralang Terminal,Operational,220,Victoria,5,20120710,,0.002491097
898,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,901,Jeeralang B Power Station to Jeeralang Terminal,Operational,220,Victoria,5,20120710,,0.002340632
899,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,902,Jeeralang Terminal to Morwell Terminal,Operational,220,Victoria,4,20120710,,0.025669748
900,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,903,Jeeralang Terminal to Morwell Terminal,Operational,220,Victoria,4,20120710,,0.023988615
901,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,904,Bairnsdale Power Station to Bairnsdale,Operational,66,Victoria,5,20120710,,0.002228767
902,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,905,South Morang Terminal to Rowville Terminal,Operational,500,Victoria,5,20120710,,0.375682707
903,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,906,Hazelwood Power Station to Jeeralang Terminal,Operational,220,Victoria,5,20120710,,0.036811064
904,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,907,Hazelwood Power Station to Jeeralang Terminal,Operational,220,Victoria,5,20120710,,0.036811064
905,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,908,Hazelwood Power Station to Jeeralang Terminal,Operational,220,Victoria,5,20120710,,0.04172874
906,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,909,Jeeralang Terminal to Hazelwood Power Station,Operational,220,Victoria,5,20120710,,0.040950494
907,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,910,Hazelwood Power Station to Hazelwood Terminal,Operational,220,Victoria,5,20120710,,0.039957809
908,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,911,Hazelwood Power Station to Hazelwood Terminal,Operational,220,Victoria,5,20120710,,0.039771597
909,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,912,Loy Yang A Power Station to Loy Yang Power Station,Operational,500,Victoria,5,20120710,,0.005254615
910,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,913,Loy Yang A Power Station to Loy Yang Power Station,Operational,500,Victoria,5,20120710,,0.003984767
911,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,914,Loy Yang A Power Station to Loy Yang Power Station,Operational,500,Victoria,5,20120710,,0.00312584
912,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,915,Loy Yang A Power Station to Loy Yang Power Station,Operational,500,Victoria,5,20120710,,0.00389337
913,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,916,Loy Yang Substation to Morwell Terminal,Operational,66,Victoria,5,20120710,,0.173033328
914,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,917,Loy Yang Substation to Morwell Terminal,Operational,66,Victoria,5,20120710,,0.173033328
915,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,918,Loy Yang Substation to Morwell Terminal,Operational,66,Victoria,4,20120710,,0.167478071
916,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,919,Loy Yang Substation to Morwell Terminal,Operational,66,Victoria,4,20120710,,0.167478071
917,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,920,Yallourn Power Station to Morwell Terminal,Operational,66,Victoria,2,20120710,,0.157732696
918,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,921,Bairnsdale to Morwell Terminal,Operational,66,Victoria,1,20120710,,1.215727603
919,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,922,Bairnsdale to Morwell Terminal,Operational,66,Victoria,1,20120710,,1.215727603
920,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,923,Hazelwood Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.253878938
921,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,924,Hazelwood Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.253878938
922,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,925,Basslink-Loy Yang to Basslink-George Town,Operational,400,Victoria,3,20120710,,3.32493065
923,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,926,Yallourn Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.180763827
924,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,927,Yallourn Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.179924555
925,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,928,Yallourn Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.180840072
926,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,929,Yallourn Power Station to Rowville Terminal,Operational,220,Victoria,5,20120710,,1.180840072
927,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,930,Rowville Terminal Station to Templestowe Terminal Station,Operational,220,Victoria,5,20120710,,0.215518339
928,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,931,Rowville Terminal Station to Ringwood Terminal Station,Operational,220,Victoria,5,20120710,,0.122911687
929,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,932,Thomastown Terminal to South Morang Terminal,Operational,220,Victoria,5,20120710,,0.087021984
930,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,933,Thomastown Terminal to South Morang Terminal,Operational,220,Victoria,5,20120710,,0.087021984
931,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,934,Jindabyne Power Station to Jindabyne Substation,Operational,132,New South Wales,1,20120710,,0.040677078
932,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,935,Cape Nelson South Substation to Cape Nelson South Tee,Operational,66,Victoria,1,20120710,,0.059204378
933,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,936,Cape Nelson North Wind Farm to Cape Nelson North Substation,Operational,66,Victoria,1,20120710,,0.005262654
934,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,937,Cape Sir William Grant Wind Farm Tee to Cape Nelson South Tee,Operational,66,Victoria,1,20120710,,0.088508801
935,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,938,Cape Sir William Grant Wind Farm to Tee,Operational,66,Victoria,1,20120710,,0.003533035
936,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,939,Portland Aluminium to Tee,Operational,66,Victoria,1,20120710,,0.009895359
937,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,940,Cape Nelson South Tee to Cape Nelson North Tee,Operational,66,Victoria,1,20120710,,0.010003
938,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,941,Cape Nelson North Substation to Cape Nelson North Tee,Operational,66,Victoria,1,20120710,,0.001872523
939,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,942,Cape Bridgewater Substation to Cape Nelson North Tee,Operational,66,Victoria,1,20120710,,0.217694667
940,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,943,Mount Gambier to Blanche,Operational,132,South Australia,5,20120710,,0.178193678
941,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,944,Snuggery Power Station to Snuggery Substation,Operational,132,South Australia,3,20120710,,0.00119604
942,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,945,Snuggery Power Station to Snuggery Substation,Operational,132,South Australia,3,20120710,,0.001482863
943,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,946,Snuggery Power Station to Snuggery Substation,Operational,132,South Australia,3,20120710,,0.001482863
944,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,947,Mayurra to Snuggery-Mayurra Tee,Operational,33,South Australia,1,20120710,,0.105396764
945,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,948,Ladbroke Grove Power Station to Penola West,Operational,132,South Australia,5,20120710,,0.001057564
946,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,949,Penola West to South East,Operational,132,South Australia,5,20120710,,0.351639223
947,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,950,South East to Tailem Bend,Operational,275,South Australia,5,20120710,,2.927580411
948,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,951,South East to Tailem Bend,Operational,275,South Australia,5,20120710,,2.927580411
949,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,952,Robertstown to Tungkillo,Operational,275,South Australia,5,20120710,,0.979374204
950,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,953,Tailem Bend to Tungkillo,Operational,275,South Australia,5,20120710,,0.622531507
951,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,954,Mannum to Mannum-Adelaide Pumping Station 2,Operational,132,South Australia,5,20120710,,0.114007942
952,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,955,Mannum-Adelaide Pumping Station 2 to Pump 3 Tee,Operational,132,South Australia,5,20120710,,0.03408874
953,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,956,Mannum-Adelaide Pumping Station 3 to Pump 3 Tee,Operational,132,South Australia,5,20120710,,0.00136776
954,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,957,Millbrook Tee to Para,Operational,132,South Australia,3,20120710,,0.18090679
955,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,958,Magill to East Terrace,Operational,275,South Australia,2,20120710,,0.08418674
956,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,959,Happy Valley to Cherry Gardens,Operational,275,South Australia,5,20120710,,0.092370722
957,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,960,Kilburn to Northfield,Operational,275,South Australia,5,20120710,,0.094053623
958,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,961,Torrens A Power Station to Northfield,Operational,275,South Australia,5,20120710,,0.129779337
959,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,962,Kilburn to Torrens A Power Station,Operational,275,South Australia,5,20120710,,0.103990186
960,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,963,Torrens A Power Station to Torrens A Power Station substation,Operational,275,South Australia,5,20120710,,0.002235923
961,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,964,Torrens A Power Station to Torrens A Power Station substation,Operational,275,South Australia,5,20120710,,0.002093542
962,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,965,Torrens A Power Station to Torrens A Power Station substation,Operational,275,South Australia,5,20120710,,0.002093542
963,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,966,Torrens A Power Station to Torrens A Power Station substation,Operational,275,South Australia,5,20120710,,0.002240999
964,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,967,Torrens B Power Station to Torrens B Power Station substation,Operational,275,South Australia,5,20120710,,0.002288943
965,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,968,Torrens B Power Station to Torrens B Power Station substation,Operational,275,South Australia,5,20120710,,0.002208071
966,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,969,Torrens B Power Station to Torrens B Power Station substation,Operational,275,South Australia,5,20120710,,0.002300542
967,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,970,Torrens B Power Station to Torrens B Power Station substation,Operational,275,South Australia,5,20120710,,0.002512926
968,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,971,Torrens Island A to Para,Operational,275,South Australia,5,20120710,,0.218735842
969,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,972,Pelican Point Power Station to Pelican Point Substation,Operational,275,South Australia,5,20120710,,0.001774459
970,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,973,Pelican Point Power Station to Pelican Point Substation,Operational,275,South Australia,5,20120710,,0.001715706
971,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,974,Pelican Point Power Station to Pelican Point Substation,Operational,275,South Australia,5,20120710,,0.001715706
972,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,975,Parafield Gardens West to Para,Operational,275,South Australia,5,20120710,,0.133481379
973,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,976,Pelican Point to Parafield Gardens West,Operational,275,South Australia,5,20120710,,0.133230072
974,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,977,Torrens Island B to Cherry Gardens,Operational,275,South Australia,5,20120710,,0.656443224
975,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,978,Torrens Island A to Magill,Operational,275,South Australia,5,20120710,,0.455102135
976,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,979,Para to Roseworthy,Operational,132,South Australia,5,20120710,,0.228724652
977,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,980,Northfield to Ingle Farm,Operational,66,South Australia,3,20120710,,0.032208395
978,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,981,Monash to Berri,Operational,132,South Australia,5,20120710,,0.033164439
979,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,982,Mintaro to Waterloo,Operational,132,South Australia,5,20120710,,0.16963398
980,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,983,Waterloo to Templers,Operational,132,South Australia,3,20120710,,0.512106472
981,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,984,Dorrien to Templers,Operational,132,South Australia,5,20120710,,0.200057574
982,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,985,Dorrien to Templers,Operational,132,South Australia,5,20120710,,0.1998274
983,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,986,Robertstown to Canowie,Operational,275,South Australia,5,20120710,,0.747873771
984,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,988,Canowie to Davenport,Operational,275,South Australia,5,20120710,,1.315412613
985,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,989,Hallett Power Station to Canowie,Operational,275,South Australia,1,20120710,,0.002020408
986,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,990,Robertstown to Mokota,Operational,275,South Australia,3,20120710,,0.512153165
987,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,992,Leigh Creek Coalfield to Leigh Creek South Tee,Operational,132,South Australia,5,20120710,,0.048554466
988,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,993,Leigh Creek South to Leigh Creek South Tee,Operational,132,South Australia,5,20120710,,0.0031284
989,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,994,Neuroodla Tee to Neuroodla,Operational,132,South Australia,5,20120710,,0.042784556
990,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,995,Cultana to Yadnarie,Operational,132,South Australia,2,20120710,,1.378381094
991,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,996,Yadnarie to Mount Millar Windfarm,Operational,132,South Australia,5,20120710,,0.340725761
992,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,998,Yadnarie to Wudinna,Operational,132,South Australia,5,20120710,,1.210913352
